id,id_fantom,gene,n1,n2,n3,n4,descrizione1,descrizione2
20525,T045702,p1@SNORD18A,595098,32714,,SNORD18A,"small nucleolar RNA, C/D box 18A","RNA, small nucleolar"
22061,T049495,p1@SNORA64,26784,10221,,SNORA64,"small nucleolar RNA, H/ACA box 64","RNA, small nucleolar"
22064,T049498,p3@SNHG9,,33102,,SNHG9,small nucleolar RNA host gene 9,"RNA, long non-coding"
22065,T049499,p4@SNHG9,735301,33102,,SNHG9,small nucleolar RNA host gene 9,"RNA, long non-coding"
22066,T049500,p1@SNHG9,735301,33102,,SNHG9,small nucleolar RNA host gene 9,"RNA, long non-coding"
22067,T049501,p2@SNHG9,735301,33102,,SNHG9,small nucleolar RNA host gene 9,"RNA, long non-coding"
22068,T049502,p1@SNORA78,677844,32664,,SNORA78,"small nucleolar RNA, H/ACA box 78","RNA, small nucleolar"
22069,T049503,p3@SNORA78,677844,32664,,SNORA78,"small nucleolar RNA, H/ACA box 78","RNA, small nucleolar"
22187,T049789,p2@SNORD60,26788,10217,,SNORD60,"small nucleolar RNA, C/D box 60","RNA, small nucleolar"
22188,T049790,p1@SNORD60,26788,10217,,SNORD60,"small nucleolar RNA, C/D box 60","RNA, small nucleolar"
23848,T053535,p1@SNORD111B,100113402,33579,,SNORD111B,"small nucleolar RNA, C/D box 111B","RNA, small nucleolar"
23849,T053536,p4@SNORD111B,,33579,,SNORD111B,"small nucleolar RNA, C/D box 111B","RNA, small nucleolar"
23889,T053678,p1@SNORD71,692111,32732,,SNORD71,"small nucleolar RNA, C/D box 71","RNA, small nucleolar"
24391,T055159,p1@SNORD68,606500,32729,,SNORD68,"small nucleolar RNA, C/D box 68","RNA, small nucleolar"
24392,T055160,p2@SNORD68,606500,32729,,SNORD68,"small nucleolar RNA, C/D box 68","RNA, small nucleolar"
24672,T055808,p1@SNORD49B,692087,32721,,SNORD49B,"small nucleolar RNA, C/D box 49B","RNA, small nucleolar"
24673,T055809,p1@SNORD65,692106,32726,,SNORD65,"small nucleolar RNA, C/D box 65","RNA, small nucleolar"
24828,T056102,p1@SNORD3D,,33192,,SNORD3D,"small nucleolar RNA, C/D box 3D","RNA, small nucleolar"
24830,T056104,p1@SNORD3A,,33189,,SNORD3A,"small nucleolar RNA, C/D box 3A","RNA, small nucleolar"
25116,T056690,p1@SNORD42B,26808,10181,,SNORD42B,"small nucleolar RNA, C/D box 42B","RNA, small nucleolar"
25117,T056691,p1@SNORD42A,26809,10180,,SNORD42A,"small nucleolar RNA, C/D box 42A","RNA, small nucleolar"
25118,T056692,p1@SNORD4B,,10098,,SNORD4B,"small nucleolar RNA, C/D box 4B","RNA, small nucleolar"
25573,T057724,p1@SNORA21,619505,32611,,SNORA21,"small nucleolar RNA, H/ACA box 21","RNA, small nucleolar"
27448,T061810,p1@SNORD104,692227,32768,,SNORD104,"small nucleolar RNA, C/D box 104","RNA, small nucleolar"
27449,T061811,p2@SNORD104,692227,32768,,SNORD104,"small nucleolar RNA, C/D box 104","RNA, small nucleolar"
27450,T061813,p1@SNORA76,677842,32662,,SNORA50C,"small nucleolar RNA, H/ACA box 50C","RNA, small nucleolar"
28167,T063530,p1@SNORD1C,"100507246,677850",32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
28168,T063531,p5@SNORD1C,677850,32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
28169,T063532,p3@SNORD1C,677850,32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
28170,T063533,p2@SNORD1C,677850,32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
28171,T063534,p4@SNORD1C,677850,32677,,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
28172,T063535,p1@SNORD1B,677849,32676,,SNORD1B,"small nucleolar RNA, C/D box 1B","RNA, small nucleolar"
28236,T063640,p1@SNORA48,652965,32641,,SNORA48,"small nucleolar RNA, H/ACA box 48","RNA, small nucleolar"
28237,T063641,p1@SNORD10,652966,32706,,SNORD10,"small nucleolar RNA, C/D box 10","RNA, small nucleolar"
28251,T063682,p2@LINC00338,,33099,,SNHG20,small nucleolar RNA host gene 20,"RNA, long non-coding"
29580,T067544,p1@SNORD58C,,33613,,SNORD58C,"small nucleolar RNA, C/D box 58C","RNA, small nucleolar"
29581,T067545,p1@SNORD58A,26791,10208,,SNORD58A,"small nucleolar RNA, C/D box 58A","RNA, small nucleolar"
29582,T067546,"p1@SNORD58B,p4@RPL17","26790,6139","10209,10307",,SNORD58B,"small nucleolar RNA, C/D box 58B","RNA, small nucleolar"
30295,T069395,p1@SNORD105,692229,32769,,SNORD105,"small nucleolar RNA, C/D box 105","RNA, small nucleolar"
30296,T069397,p1@SNORD105B,,33572,,SNORD105B,"small nucleolar RNA, C/D box 105B","RNA, small nucleolar"
30650,T070092,p1@SNORD41,26810,10179,,SNORD41,"small nucleolar RNA, C/D box 41","RNA, small nucleolar"
32267,T074008,p4@SNORD37,26812,10166,,SNORD37,"small nucleolar RNA, C/D box 37","RNA, small nucleolar"
32268,T074009,p1@SNORD37,26812,10166,,SNORD37,"small nucleolar RNA, C/D box 37","RNA, small nucleolar"
32269,T074012,p2@SNORD37,26812,10166,,SNORD37,"small nucleolar RNA, C/D box 37","RNA, small nucleolar"
32270,T074013,p5@SNORD37,26812,10166,,SNORD37,"small nucleolar RNA, C/D box 37","RNA, small nucleolar"
33478,T076770,p1@SNORD32A,26819,10159,,SNORD32A,"small nucleolar RNA, C/D box 32A","RNA, small nucleolar"
33479,T076771,p1@SNORD33,26818,10160,,SNORD33,"small nucleolar RNA, C/D box 33","RNA, small nucleolar"
33481,T076773,p1@SNORD34,26817,10161,,SNORD34,"small nucleolar RNA, C/D box 34","RNA, small nucleolar"
33482,T076774,p1@SNORD35A,26816,10162,,SNORD35A,"small nucleolar RNA, C/D box 35A","RNA, small nucleolar"
33484,T076778,p2@SNORD35B,84546,17365,,SNORD35B,"small nucleolar RNA, C/D box 35B","RNA, small nucleolar"
33485,T076780,p1@SNORD35B,84546,17365,,SNORD35B,"small nucleolar RNA, C/D box 35B","RNA, small nucleolar"
33486,T076781,p3@SNORD35B,84546,17365,,SNORD35B,"small nucleolar RNA, C/D box 35B","RNA, small nucleolar"
36650,T083417,p1@SNORA42,,32635,,SNORA80E,"small nucleolar RNA, H/ACA box 80E","RNA, small nucleolar"
37880,T085817,p1@SNORD81,26769,10101,,SNORD81,"small nucleolar RNA, C/D box 81","RNA, small nucleolar"
37881,T085818,p1@SNORD47,26802,10187,,SNORD47,"small nucleolar RNA, C/D box 47","RNA, small nucleolar"
37882,T085819,"p1@SNORD80,p3@GAS5",26774,"10096,16355",,SNORD80,"small nucleolar RNA, C/D box 80","RNA, small nucleolar"
37884,T085821,p1@SNORD44,26806,10183,,SNORD44,"small nucleolar RNA, C/D box 44","RNA, small nucleolar"
37885,T085822,p1@SNORD76,692196,32736,,SNORD76,"small nucleolar RNA, C/D box 76","RNA, small nucleolar"
37886,T085823,p1@SNORD74,619498,32734,,SNORD74,"small nucleolar RNA, C/D box 74","RNA, small nucleolar"
40137,T091265,p2@SNORA14B,677802,32603,,SNORA14B,"small nucleolar RNA, H/ACA box 14B","RNA, small nucleolar"
40138,T091266,p1@SNORA14B,677802,32603,,SNORA14B,"small nucleolar RNA, H/ACA box 14B","RNA, small nucleolar"
40958,T093121,p2@SNHG3,,10118,,SNHG3,small nucleolar RNA host gene 3,"RNA, long non-coding"
40959,T093122,p4@SNHG3,,10118,,SNHG3,small nucleolar RNA host gene 3,"RNA, long non-coding"
40960,T093123,p3@SNHG3,,10118,,SNHG3,small nucleolar RNA host gene 3,"RNA, long non-coding"
40961,T093124,p5@SNHG3,,10118,,SNHG3,small nucleolar RNA host gene 3,"RNA, long non-coding"
40962,T093125,p1@SNORA73A,,10115,,SNORA73A,"small nucleolar RNA, H/ACA box 73A","RNA, small nucleolar"
40963,T093126,p2@SNORA73A,,10115,,SNORA73A,"small nucleolar RNA, H/ACA box 73A","RNA, small nucleolar"
40964,T093128,p1@SNORA73B,,10116,,SNORA73B,"small nucleolar RNA, H/ACA box 73B","RNA, small nucleolar"
40970,T093139,p1@SNORD99,692212,32762,,SNORD99,"small nucleolar RNA, C/D box 99","RNA, small nucleolar"
40971,T093140,p3@SNORA61,677838,32655,,SNORA61,"small nucleolar RNA, H/ACA box 61","RNA, small nucleolar"
40972,T093141,p1@SNORA44,677825,32637,,SNORA44,"small nucleolar RNA, H/ACA box 44","RNA, small nucleolar"
40973,T093142,p1@SNORA16A,692073,32605,,SNORA16A,"small nucleolar RNA, H/ACA box 16A","RNA, small nucleolar"
40974,T093143,p1@SNHG12,85028,30062,,SNHG12,small nucleolar RNA host gene 12,"RNA, long non-coding"
41829,T094802,p1@SNORD55,26811,10205,,SNORD55,"small nucleolar RNA, C/D box 55","RNA, small nucleolar"
41831,T094804,p2@SNORD38A,94162,30355,,SNORD38A,"small nucleolar RNA, C/D box 38A","RNA, small nucleolar"
42789,T096718,p1@SNORD45A,26805,10184,,SNORD45A,"small nucleolar RNA, C/D box 45A","RNA, small nucleolar"
43597,T098696,p1@SNORD17,692086,32713,,SNORD17,"small nucleolar RNA, C/D box 17","RNA, small nucleolar"
43796,T099262,p1@SNORD119,,33558,,SNORD119,"small nucleolar RNA, C/D box 119","RNA, small nucleolar"
43847,T099401,p1@SNORD110,692213,32775,,SNORD110,"small nucleolar RNA, C/D box 110","RNA, small nucleolar"
43848,T099402,p1@SNORD86,692201,32745,,SNORD86,"small nucleolar RNA, C/D box 86","RNA, small nucleolar"
43849,T099403,p1@SNORD56,26793,10206,,SNORD56,"small nucleolar RNA, C/D box 56","RNA, small nucleolar"
43850,T099404,p1@SNORD57,26792,10207,,SNORD57,"small nucleolar RNA, C/D box 57","RNA, small nucleolar"
43851,T099405,p2@SNORD57,26792,10207,,SNORD57,"small nucleolar RNA, C/D box 57","RNA, small nucleolar"
44450,T100612,p1@SNORA71C,677839,32656,,SNORA71C,"small nucleolar RNA, H/ACA box 71C","RNA, small nucleolar"
44451,T100615,p1@SNHG11,128439,25046,,SNHG11,small nucleolar RNA host gene 11,"RNA, long non-coding"
44452,T100616,p3@SNHG11,,25046,,SNHG11,small nucleolar RNA host gene 11,"RNA, long non-coding"
44453,T100617,p4@SNHG11,,25046,,SNHG11,small nucleolar RNA host gene 11,"RNA, long non-coding"
44951,T101858,p1@SNORD12B,,33573,,SNORD12B,"small nucleolar RNA, C/D box 12B","RNA, small nucleolar"
44952,T101859,p1@SNORD12,692057,32708,,SNORD12,"small nucleolar RNA, C/D box 12","RNA, small nucleolar"
44953,T101860,p2@SNORD12,692057,32708,,SNORD12,"small nucleolar RNA, C/D box 12","RNA, small nucleolar"
48660,T110356,p1@SNORD89,692205,32750,,SNORD89,"small nucleolar RNA, C/D box 89","RNA, small nucleolar"
52311,T120054,p3@SNORA75,654321,32661,,SNORA75,"small nucleolar RNA, H/ACA box 75","RNA, small nucleolar"
52312,T120055,p2@SNORA75,654321,32661,,SNORA75,"small nucleolar RNA, H/ACA box 75","RNA, small nucleolar"
52313,T120056,p2@SNORD20,6082,10143,,SNORD20,"small nucleolar RNA, C/D box 20","RNA, small nucleolar"
52315,T120060,p1@SNORD82,25826,10240,,SNORD82,"small nucleolar RNA, C/D box 82","RNA, small nucleolar"
52316,T120061,p2@SNORD82,25826,10240,,SNORD82,"small nucleolar RNA, C/D box 82","RNA, small nucleolar"
53211,T121918,p1@SNORD53,26796,10203,,SNORD53,"small nucleolar RNA, C/D box 53","RNA, small nucleolar"
54784,T125875,p1@SNORD94,692225,32756,,SNORD94,"small nucleolar RNA, C/D box 94","RNA, small nucleolar"
57926,T132667,"p1@MIR1248,p1@SNORA81","677847,100302143","32667,35314",,SNORA81,"small nucleolar RNA, H/ACA box 81","RNA, small nucleolar"
57927,T132668,p1@SNORA63,6043,10106,,SNORA63,"small nucleolar RNA, H/ACA box 63","RNA, small nucleolar"
57928,T132669,p2@SNORA63,6043,10106,,SNORA63,"small nucleolar RNA, H/ACA box 63","RNA, small nucleolar"
59653,T136262,p1@SNORD69,692109,32730,,SNORD69,"small nucleolar RNA, C/D box 69","RNA, small nucleolar"
61021,T139228,p2@SNHG8,100093630,33098,,SNHG8,small nucleolar RNA host gene 8,"RNA, long non-coding"
61022,T139229,p1@SNHG8,100093630,33098,,SNHG8,small nucleolar RNA host gene 8,"RNA, long non-coding"
61023,T139230,p2@SNORA24,677809,32614,,SNORA24,"small nucleolar RNA, H/ACA box 24","RNA, small nucleolar"
65174,T149325,p1@SNORD63,26785,10220,,SNORD63,"small nucleolar RNA, C/D box 63","RNA, small nucleolar"
66875,T153236,p1@SNORD96A,619571,32758,,SNORD96A,"small nucleolar RNA, C/D box 96A","RNA, small nucleolar"
69365,T159172,"p1@SNORD101,p2@RPS12","594837,6206","32764,10385",,SNORD101,"small nucleolar RNA, C/D box 101","RNA, small nucleolar"
71207,T163893,p1@SNORD84,692199,32743,,SNORD84,"small nucleolar RNA, C/D box 84","RNA, small nucleolar"
71275,T164057,p1@SNORA38,677820,32631,,SNORA38,"small nucleolar RNA, H/ACA box 38","RNA, small nucleolar"
71386,T164238,p1@SNORD52,26797,10202,,SNORD52,"small nucleolar RNA, C/D box 52","RNA, small nucleolar"
73225,T168210,p1@SNORD50A,26799,10200,,SNORD50A,"small nucleolar RNA, C/D box 50A","RNA, small nucleolar"
73226,T168211,p2@SNORD50A,26799,10200,,SNORD50A,"small nucleolar RNA, C/D box 50A","RNA, small nucleolar"
73227,T168212,p1@SNHG5,387066,21026,,SNHG5,small nucleolar RNA host gene 5,"RNA, long non-coding"
76229,T175773,p3@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
76230,T175774,p5@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
76231,T175775,p2@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
76232,T175776,p1@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
76233,T175777,p7@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
76234,T175778,p6@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
79814,T184331,p1@SNORD13,,32711,,SNORD13,"small nucleolar RNA, C/D box 13","RNA, small nucleolar"
80231,T185374,p1@SNORD54,26795,10204,,SNORD54,"small nucleolar RNA, C/D box 54","RNA, small nucleolar"
80485,T186049,p1@SNORD87,641648,32746,,SNORD87,"small nucleolar RNA, C/D box 87","RNA, small nucleolar"
80487,T186052,p1@SNHG6,641638,32965,,SNHG6,small nucleolar RNA host gene 6,"RNA, long non-coding"
82083,T189749,p1@SNORA65,26783,10222,,SNORA65,"small nucleolar RNA, H/ACA box 65","RNA, small nucleolar"
82610,T190879,p2@SNORD36B,,10164,,SNORD36B,"small nucleolar RNA, C/D box 36B","RNA, small nucleolar"
82611,T190880,p1@SNORD36A,26815,10163,,SNORD36A,"small nucleolar RNA, C/D box 36A","RNA, small nucleolar"
82782,T191363,p1@SNHG7,84973,28254,,SNHG7,small nucleolar RNA host gene 7,"RNA, long non-coding"
85889,T198431,p2@SNORA70,26778,10231,,SNORA70,"small nucleolar RNA, H/ACA box 70","RNA, small nucleolar"
