id,gene,n1,n2,n3,n4,descrizione1,descrizione2
T149325,p1@SNORD63,26785,10220,,SNORD63,"small nucleolar RNA, C/D box 63","RNA, small nucleolar"
T153236,p1@SNORD96A,619571,32758,,SNORD96A,"small nucleolar RNA, C/D box 96A","RNA, small nucleolar"
T159172,"p1@SNORD101,p2@RPS12","594837,6206","32764,10385",,SNORD101,"small nucleolar RNA, C/D box 101","RNA, small nucleolar"
T163893,p1@SNORD84,692199,32743,,SNORD84,"small nucleolar RNA, C/D box 84","RNA, small nucleolar"
T164057,p1@SNORA38,677820,32631,,SNORA38,"small nucleolar RNA, H/ACA box 38","RNA, small nucleolar"
T164238,p1@SNORD52,26797,10202,,SNORD52,"small nucleolar RNA, C/D box 52","RNA, small nucleolar"
T168210,p1@SNORD50A,26799,10200,,SNORD50A,"small nucleolar RNA, C/D box 50A","RNA, small nucleolar"
T168211,p2@SNORD50A,26799,10200,,SNORD50A,"small nucleolar RNA, C/D box 50A","RNA, small nucleolar"
T168212,p1@SNHG5,387066,21026,,SNHG5,small nucleolar RNA host gene 5,"RNA, long non-coding"
T175773,p3@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
T175774,p5@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
T175775,p2@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
T175776,p1@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
T175777,p7@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
T175778,p6@SNHG15,285958,27797,,SNHG15,small nucleolar RNA host gene 15,"RNA, long non-coding"
T184331,p1@SNORD13,,32711,,SNORD13,"small nucleolar RNA, C/D box 13","RNA, small nucleolar"
T185374,p1@SNORD54,26795,10204,,SNORD54,"small nucleolar RNA, C/D box 54","RNA, small nucleolar"
T186049,p1@SNORD87,641648,32746,,SNORD87,"small nucleolar RNA, C/D box 87","RNA, small nucleolar"
T186052,p1@SNHG6,641638,32965,,SNHG6,small nucleolar RNA host gene 6,"RNA, long non-coding"
T189749,p1@SNORA65,26783,10222,,SNORA65,"small nucleolar RNA, H/ACA box 65","RNA, small nucleolar"
T190879,p2@SNORD36B,,10164,,SNORD36B,"small nucleolar RNA, C/D box 36B","RNA, small nucleolar"
T190880,p1@SNORD36A,26815,10163,,SNORD36A,"small nucleolar RNA, C/D box 36A","RNA, small nucleolar"
T191363,p1@SNHG7,84973,28254,,SNHG7,small nucleolar RNA host gene 7,"RNA, long non-coding"
T198431,p2@SNORA70,26778,10231,,SNORA70,"small nucleolar RNA, H/ACA box 70","RNA, small nucleolar"
